103.39.78.112:8443#HK[优选 39ms]
103.39.78.14:8443#HK[优选 41ms]
143.198.90.188:443#SG[优选 71ms]
104.248.159.171:443#SG[优选 74ms]
116.251.216.12:8443#SG[优选 74ms]
129.150.48.17:443#SG[优选 74ms]
143.42.66.91:443#SG[优选 74ms]
103.193.172.164:443#HK[优选 75ms]
103.170.233.213:443#JP[优选 76ms]
129.212.232.171:443#SG[优选 78ms]
129.212.229.240:443#SG[优选 80ms]
129.212.225.217:443#SG[优选 81ms]
143.198.209.123:443#SG[优选 81ms]
143.198.213.81:443#SG[优选 81ms]
143.14.11.61:443#TH[优选 94ms]
143.110.184.105:443#IN[优选 114ms]
142.93.209.210:443#IN[优选 116ms]
103.106.228.126:2053#JP[优选 121ms]
103.181.177.88:443#IN[优选 131ms]
64.227.174.213:2053#IN[优选 131ms]
64.227.174.213:8443#IN[优选 131ms]
185.65.151.81:443#BR[优选 132ms]
166.88.7.65:443#MY[优选 137ms]
166.88.97.239:443#JP[优选 137ms]
43.155.221.27:8443#KR[优选 138ms]
212.135.215.5:443#JP[优选 139ms]
43.133.1.62:443#JP[优选 140ms]
143.110.133.216:8443#US[优选 181ms]
142.93.97.208:443#DE[优选 194ms]
142.93.111.174:443#DE[优选 195ms]
142.93.225.99:443#NL[优选 195ms]
104.248.142.217:2083#DE[优选 196ms]
142.93.224.188:8443#NL[优选 197ms]
142.93.225.99:2053#NL[优选 198ms]
104.194.144.105:443#GB[优选 202ms]
65.20.85.14:443#IN[优选 226ms]
209.38.22.182:443#AU[优选 233ms]
129.154.251.13:443#IN[优选 259ms]
125.7.24.251:443#AU[优选 261ms]
117.18.127.43:443#TH[优选 263ms]
47.83.139.13:8443#CN[优选 263ms]
47.250.124.22:443#MY[优选 265ms]
109.61.42.37:443#AE[优选 268ms]
109.172.9.100:443#CZ[优选 272ms]
176.97.66.175:443#AE[优选 275ms]
149.118.131.245:443#MY[优选 293ms]
89.28.236.192:8443#DK[优选 324ms]
38.54.4.209:443#KH[优选 389ms]
209.38.82.114:443#AU[优选 397ms]
185.222.217.28:443#AU[优选 407ms]
20.174.15.226:443#AE[优选 433ms]
20.235.220.189:443#IN[优选 433ms]
45.150.128.159:443#TH[优选 506ms]
188.253.6.173:443#TW[优选 511ms]
147.78.0.36:443#AE[优选 592ms]
38.180.225.181:443#HU[优选 619ms]
139.84.197.94:443#AU[优选 621ms]
45.32.191.198:443#AU[优选 662ms]
63.32.194.15:8443#IE[优选 735ms]
188.208.110.35:2096#AE[优选 781ms]
157.85.105.126:443#TH[优选 951ms]
