103.193.172.164   HK   (cfst:HK) 66ms
104.248.159.171   SG   (cfst:SG) 73ms
103.170.233.213   JP   (cfst:JP) 75ms
151.241.5.88      JP   (cfst:JP) 75ms
45.150.128.159    TH   (cfst:TH) 94ms
64.176.35.237     JP   (cfst:JP) 99ms
64.176.38.23      JP   (cfst:JP) 99ms
129.154.251.13    IN   (cfst:IN) 132ms
149.248.199.173   DE   (cfst:DE) 140ms
149.118.131.245   MY   (cfst:MY) 141ms
109.94.170.104    DE   (cfst:DE) 159ms
185.209.85.248    RU   (cfst:RU) 211ms
37.128.205.31     LV   (cfst:LV) 222ms
77.239.114.157    PL   (cfst:PL) 230ms
157.85.105.126    TH   (cfst:TH) 235ms
65.20.85.14       IN   (cfst:IN) 248ms
65.20.88.116      IN   (cfst:IN) 248ms
94.242.59.196     SE   (cfst:SE) 266ms
158.180.5.171     AU   (cfst:AU) 350ms
139.84.197.94     AU   (cfst:AU) 1086ms
139.84.139.219    IN   (cfst:IN) 1087ms
139.84.166.44     IN   (cfst:IN) 1087ms
77.91.69.141      IL   (cfst:IL) 1305ms
